index,Unnamed: 0,State,Month,Year,countyBirths,stateBirths,County
251712,251713,18,1,2006,1215.0,7084,18097.0
251713,251714,18,1,2006,116.0,7084,18105.0
251714,251715,18,1,2006,153.0,7084,18127.0
251715,251716,18,1,2006,293.0,7084,18141.0
251716,251717,18,1,2006,175.0,7084,18157.0
251717,251718,18,1,2006,218.0,7084,18163.0
251718,251719,18,1,2006,108.0,7084,18167.0
251719,251720,18,1,2006,2632.0,7084,18999.0
251720,251721,19,1,2006,136.0,3157,19013.0
251721,251722,19,1,2006,107.0,3157,19103.0
251722,251723,19,1,2006,249.0,3157,19113.0
251723,251724,19,1,2006,513.0,3157,19153.0
251724,251725,19,1,2006,162.0,3157,19163.0
251725,251726,19,1,2006,140.0,3157,19193.0
251726,251727,19,1,2006,1850.0,3157,19999.0
251727,251728,20,1,2006,603.0,3266,20091.0
251728,251729,20,1,2006,616.0,3266,20173.0
251729,251730,20,1,2006,175.0,3266,20177.0
251730,251731,20,1,2006,279.0,3266,20209.0
251731,251732,20,1,2006,1593.0,3266,20999.0
251732,251733,21,1,2006,310.0,4665,21067.0
251733,251734,21,1,2006,812.0,4665,21111.0
251734,251735,21,1,2006,187.0,4665,21117.0
251735,251736,21,1,2006,3356.0,4665,21999.0
251736,251737,22,1,2006,301.0,4936,22017.0
251737,251738,22,1,2006,225.0,4936,22019.0
251738,251739,22,1,2006,489.0,4936,22033.0
251739,251740,22,1,2006,447.0,4936,22051.0
251740,251741,22,1,2006,241.0,4936,22055.0
251741,251742,22,1,2006,172.0,4936,22071.0
251742,251743,22,1,2006,184.0,4936,22073.0
251743,251744,22,1,2006,165.0,4936,22079.0
251744,251745,22,1,2006,246.0,4936,22103.0
251745,251746,22,1,2006,143.0,4936,22105.0
251746,251747,22,1,2006,145.0,4936,22109.0
251747,251748,22,1,2006,2178.0,4936,22999.0
251748,251749,23,1,2006,117.0,1112,23001.0
251749,251750,23,1,2006,242.0,1112,23005.0
251750,251751,23,1,2006,97.0,1112,23011.0
251751,251752,23,1,2006,113.0,1112,23019.0
251752,251753,23,1,2006,146.0,1112,23031.0
251753,251754,23,1,2006,397.0,1112,23999.0
251754,251755,24,1,2006,533.0,6268,24003.0
251755,251756,24,1,2006,806.0,6268,24005.0
251756,251757,24,1,2006,162.0,6268,24013.0
251757,251758,24,1,2006,143.0,6268,24017.0
251758,251759,24,1,2006,262.0,6268,24021.0
251759,251760,24,1,2006,258.0,6268,24025.0
251760,251761,24,1,2006,273.0,6268,24027.0
251761,251762,24,1,2006,1055.0,6268,24031.0
251762,251763,24,1,2006,1047.0,6268,24033.0
251763,251764,24,1,2006,167.0,6268,24043.0
251764,251765,24,1,2006,851.0,6268,24510.0
251765,251766,24,1,2006,711.0,6268,24999.0
251766,251767,25,1,2006,159.0,6270,25001.0
251767,251768,25,1,2006,119.0,6270,25003.0
251768,251769,25,1,2006,513.0,6270,25005.0
251769,251770,25,1,2006,711.0,6270,25009.0
251770,251771,25,1,2006,451.0,6270,25013.0
251771,251772,25,1,2006,88.0,6270,25015.0
251772,251773,25,1,2006,1446.0,6270,25017.0
251773,251774,25,1,2006,632.0,6270,25021.0
251774,251775,25,1,2006,477.0,6270,25023.0
251775,251776,25,1,2006,787.0,6270,25025.0
251776,251777,25,1,2006,798.0,6270,25027.0
251777,251778,25,1,2006,89.0,6270,25999.0
251778,251779,26,1,2006,133.0,10163,26005.0
251779,251780,26,1,2006,75.0,10163,26017.0
251780,251781,26,1,2006,175.0,10163,26021.0
251781,251782,26,1,2006,137.0,10163,26025.0
251782,251783,26,1,2006,78.0,10163,26045.0
251783,251784,26,1,2006,495.0,10163,26049.0
251784,251785,26,1,2006,302.0,10163,26065.0
251785,251786,26,1,2006,151.0,10163,26075.0
251786,251787,26,1,2006,240.0,10163,26077.0
251787,251788,26,1,2006,755.0,10163,26081.0
251788,251789,26,1,2006,146.0,10163,26093.0
251789,251790,26,1,2006,735.0,10163,26099.0
251790,251791,26,1,2006,140.0,10163,26115.0
251791,251792,26,1,2006,188.0,10163,26121.0
251792,251793,26,1,2006,1121.0,10163,26125.0
251793,251794,26,1,2006,282.0,10163,26139.0
251794,251795,26,1,2006,220.0,10163,26145.0
251795,251796,26,1,2006,130.0,10163,26147.0
251796,251797,26,1,2006,339.0,10163,26161.0
251797,251798,26,1,2006,2348.0,10163,26163.0
251798,251799,26,1,2006,1973.0,10163,26999.0
251799,251800,27,1,2006,384.0,5728,27003.0
251800,251801,27,1,2006,446.0,5728,27037.0
251801,251802,27,1,2006,1346.0,5728,27053.0
251802,251803,27,1,2006,182.0,5728,27109.0
251803,251804,27,1,2006,576.0,5728,27123.0
251804,251805,27,1,2006,177.0,5728,27137.0
251805,251806,27,1,2006,154.0,5728,27145.0
251806,251807,27,1,2006,220.0,5728,27163.0
251807,251808,27,1,2006,2243.0,5728,27999.0
251808,251809,28,1,2006,161.0,3675,28033.0
251809,251810,28,1,2006,219.0,3675,28047.0
251810,251811,28,1,2006,333.0,3675,28049.0
251811,251812,28,1,2006,142.0,3675,28059.0
251812,251813,28,1,2006,150.0,3675,28121.0
251813,251814,28,1,2006,2670.0,3675,28999.0
251814,251815,29,1,2006,147.0,6487,29019.0
251815,251816,29,1,2006,253.0,6487,29047.0
251816,251817,29,1,2006,279.0,6487,29077.0
251817,251818,29,1,2006,861.0,6487,29095.0
251818,251819,29,1,2006,139.0,6487,29097.0
251819,251820,29,1,2006,240.0,6487,29099.0
251820,251821,29,1,2006,334.0,6487,29183.0
251821,251822,29,1,2006,1008.0,6487,29189.0
251822,251823,29,1,2006,427.0,6487,29510.0
251823,251824,29,1,2006,2799.0,6487,29999.0
251824,251825,30,1,2006,140.0,943,30111.0
251825,251826,30,1,2006,803.0,943,30999.0
251826,251827,31,1,2006,686.0,2092,31055.0
251827,251828,31,1,2006,292.0,2092,31109.0
251828,251829,31,1,2006,186.0,2092,31153.0
251829,251830,31,1,2006,928.0,2092,31999.0
251830,251831,32,1,2006,2365.0,3171,32003.0
251831,251832,32,1,2006,497.0,3171,32031.0
251832,251833,32,1,2006,309.0,3171,32999.0
251833,251834,33,1,2006,403.0,1124,33011.0
251834,251835,33,1,2006,126.0,1124,33013.0
251835,251836,33,1,2006,227.0,1124,33015.0
251836,251837,33,1,2006,114.0,1124,33017.0
251837,251838,33,1,2006,254.0,1124,33999.0
251838,251839,34,1,2006,292.0,9292,34001.0
251839,251840,34,1,2006,770.0,9292,34003.0
251840,251841,34,1,2006,405.0,9292,34005.0
251841,251842,34,1,2006,545.0,9292,34007.0
251842,251843,34,1,2006,78.0,9292,34009.0
251843,251844,34,1,2006,210.0,9292,34011.0
251844,251845,34,1,2006,949.0,9292,34013.0
251845,251846,34,1,2006,288.0,9292,34015.0
251846,251847,34,1,2006,818.0,9292,34017.0
251847,251848,34,1,2006,96.0,9292,34019.0
251848,251849,34,1,2006,387.0,9292,34021.0
251849,251850,34,1,2006,861.0,9292,34023.0
251850,251851,34,1,2006,585.0,9292,34025.0
251851,251852,34,1,2006,461.0,9292,34027.0
251852,251853,34,1,2006,668.0,9292,34029.0
251853,251854,34,1,2006,637.0,9292,34031.0
251854,251855,34,1,2006,313.0,9292,34035.0
251855,251856,34,1,2006,132.0,9292,34037.0
251856,251857,34,1,2006,626.0,9292,34039.0
251857,251858,34,1,2006,103.0,9292,34041.0
251858,251859,34,1,2006,68.0,9292,34999.0
251859,251860,35,1,2006,721.0,2357,35001.0
251860,251861,35,1,2006,290.0,2357,35013.0
251861,251862,35,1,2006,180.0,2357,35045.0
251862,251863,35,1,2006,133.0,2357,35049.0
251863,251864,35,1,2006,1033.0,2357,35999.0
251864,251865,36,1,2006,278.0,20057,36001.0
251865,251866,36,1,2006,1857.0,20057,36005.0
251866,251867,36,1,2006,175.0,20057,36007.0
251867,251868,36,1,2006,110.0,20057,36013.0
251868,251869,36,1,2006,243.0,20057,36027.0
251869,251870,36,1,2006,737.0,20057,36029.0
251870,251871,36,1,2006,135.0,20057,36045.0
251871,251872,36,1,2006,3328.0,20057,36047.0
251872,251873,36,1,2006,689.0,20057,36055.0
251873,251874,36,1,2006,1220.0,20057,36059.0
251874,251875,36,1,2006,1673.0,20057,36061.0
251875,251876,36,1,2006,170.0,20057,36063.0
251876,251877,36,1,2006,223.0,20057,36065.0
251877,251878,36,1,2006,476.0,20057,36067.0
251878,251879,36,1,2006,84.0,20057,36069.0
251879,251880,36,1,2006,461.0,20057,36071.0
251880,251881,36,1,2006,111.0,20057,36075.0
251881,251882,36,1,2006,2471.0,20057,36081.0
251882,251883,36,1,2006,141.0,20057,36083.0
251883,251884,36,1,2006,487.0,20057,36085.0
251884,251885,36,1,2006,376.0,20057,36087.0
251885,251886,36,1,2006,117.0,20057,36089.0
251886,251887,36,1,2006,175.0,20057,36091.0
251887,251888,36,1,2006,142.0,20057,36093.0
251888,251889,36,1,2006,1465.0,20057,36103.0
251889,251890,36,1,2006,135.0,20057,36111.0
251890,251891,36,1,2006,894.0,20057,36119.0
251891,251892,36,1,2006,1684.0,20057,36999.0
251892,251893,37,1,2006,134.0,10309,37001.0
251893,251894,37,1,2006,220.0,10309,37021.0
251894,251895,37,1,2006,207.0,10309,37025.0
251895,251896,37,1,2006,189.0,10309,37035.0
251896,251897,37,1,2006,458.0,10309,37051.0
251897,251898,37,1,2006,159.0,10309,37057.0
251898,251899,37,1,2006,332.0,10309,37063.0
251899,251900,37,1,2006,411.0,10309,37067.0
251900,251901,37,1,2006,214.0,10309,37071.0
251901,251902,37,1,2006,476.0,10309,37081.0
251902,251903,37,1,2006,167.0,10309,37097.0
251903,251904,37,1,2006,183.0,10309,37101.0
251904,251905,37,1,2006,1141.0,10309,37119.0
251905,251906,37,1,2006,210.0,10309,37129.0
251906,251907,37,1,2006,269.0,10309,37133.0
251907,251908,37,1,2006,101.0,10309,37135.0
251908,251909,37,1,2006,151.0,10309,37147.0
251909,251910,37,1,2006,151.0,10309,37151.0
251910,251911,37,1,2006,188.0,10309,37155.0
251911,251912,37,1,2006,150.0,10309,37159.0
251912,251913,37,1,2006,206.0,10309,37179.0
251913,251914,37,1,2006,989.0,10309,37183.0
251914,251915,37,1,2006,140.0,10309,37191.0
251915,251916,37,1,2006,3463.0,10309,37999.0
251916,251917,38,1,2006,154.0,688,38017.0
251917,251918,38,1,2006,534.0,688,38999.0
251918,251919,39,1,2006,124.0,11927,39003.0
251919,251920,39,1,2006,92.0,11927,39007.0
251920,251921,39,1,2006,405.0,11927,39017.0
251921,251922,39,1,2006,143.0,11927,39023.0
251922,251923,39,1,2006,255.0,11927,39025.0
251923,251924,39,1,2006,83.0,11927,39029.0
251924,251925,39,1,2006,1293.0,11927,39035.0
251925,251926,39,1,2006,196.0,11927,39041.0
251926,251927,39,1,2006,131.0,11927,39045.0
251927,251928,39,1,2006,1408.0,11927,39049.0
251928,251929,39,1,2006,147.0,11927,39057.0
251929,251930,39,1,2006,952.0,11927,39061.0
251930,251931,39,1,2006,216.0,11927,39085.0
251931,251932,39,1,2006,183.0,11927,39089.0
251932,251933,39,1,2006,298.0,11927,39093.0
251933,251934,39,1,2006,506.0,11927,39095.0
251934,251935,39,1,2006,227.0,11927,39099.0
251935,251936,39,1,2006,150.0,11927,39103.0
251936,251937,39,1,2006,584.0,11927,39113.0
251937,251938,39,1,2006,130.0,11927,39133.0
251938,251939,39,1,2006,131.0,11927,39139.0
251939,251940,39,1,2006,381.0,11927,39151.0
251940,251941,39,1,2006,520.0,11927,39153.0
251941,251942,39,1,2006,195.0,11927,39155.0
251942,251943,39,1,2006,220.0,11927,39165.0
251943,251944,39,1,2006,132.0,11927,39169.0
251944,251945,39,1,2006,101.0,11927,39173.0
251945,251946,39,1,2006,2724.0,11927,39999.0
251946,251947,40,1,2006,227.0,4299,40027.0
251947,251948,40,1,2006,162.0,4299,40031.0
251948,251949,40,1,2006,937.0,4299,40109.0
251949,251950,40,1,2006,785.0,4299,40143.0
251950,251951,40,1,2006,2188.0,4299,40999.0
251951,251952,41,1,2006,298.0,3732,41005.0
251952,251953,41,1,2006,144.0,3732,41017.0
251953,251954,41,1,2006,96.0,3732,41019.0
251954,251955,41,1,2006,163.0,3732,41029.0
251955,251956,41,1,2006,264.0,3732,41039.0
251956,251957,41,1,2006,122.0,3732,41043.0
251957,251958,41,1,2006,387.0,3732,41047.0
251958,251959,41,1,2006,765.0,3732,41051.0
251959,251960,41,1,2006,613.0,3732,41067.0
251960,251961,41,1,2006,880.0,3732,41999.0
251961,251962,42,1,2006,1080.0,12013,42003.0
251962,251963,42,1,2006,139.0,12013,42007.0
